Model, Scenario, Algorithm, Iteration, State, NumberOfParameters,TotalPossibleCombinations,NumberOfFaults,Overlap,SafeValue,Strength,ClassFScore,ClassPrecision,ClassRecall,ExecutionTime,FScore,NumInvalidTests,NumMultipleFaults,NumberOfResults,NumberOfTestCases,NumberOfUniqueTestCases,PctInvalidTests,PctMultipleFaults,Precision,Recall
Random4,S5,Csp,0,COMPLETED,4,64,3,0,0,3,0.511627907,0.34375,1,467,0,8,0,2,32,32,0.25,0,0,0
Random4,S5,FIC_BS,0,COMPLETED,4,64,3,0,0,3,0.511627907,0.34375,1,362,0.666666667,18,0,3,84,45,0.214285714,0,0.666666667,0.666666667
Random4,S5,Ala,0,TIME_OUT,4,64,3,0,0,3,,,,,,,,,,,,,,
Random4,S5,IDD,0,COMPLETED,4,64,3,0,0,3,1,1,1,384,1,9,0,3,36,36,0.25,0,1,1
Random4,S5,Ben,0,COMPLETED,4,64,3,0,0,3,0.862745098,0.75862069,1,408,0.146341463,9,0,38,38,38,0.236842105,0,0.078947368,1
Random4,S5,Ict,0,COMPLETED,4,64,3,0,0,3,1,1,1,504,1,8,0,3,51,37,0.156862745,0,1,1
Random4,S5,Ipog,0,COMPLETED,4,64,3,0,0,3,0.666666667,1,0.5,353,0,8,0,11,32,32,0.25,0,0,0
Random4,S0,Aifl,0,COMPLETED,4,64,1,0,0,3,1,1,1,363,0.666666667,8,0,2,35,35,0.228571429,0,0.5,1
Random4,S0,IterAifl,0,COMPLETED,4,64,1,0,0,3,1,1,1,366,0.666666667,8,0,2,36,36,0.222222222,0,0.5,1
Random4,S0,FIC,0,COMPLETED,4,64,1,0,0,3,1,1,1,365,1,8,0,1,37,34,0.216216216,0,1,1
Random4,S0,Csp,0,COMPLETED,4,64,1,0,0,3,1,1,1,408,1,8,0,1,32,32,0.25,0,1,1
Random4,S0,FIC_BS,0,COMPLETED,4,64,1,0,0,3,1,1,1,354,1,8,0,1,42,37,0.19047619,0,1,1
Random4,S0,Ala,0,COMPLETED,4,64,1,0,0,3,0,1,0,350,0,8,0,0,32,32,0.25,0,1,0
Random4,S0,IDD,0,COMPLETED,4,64,1,0,0,3,1,1,1,366,1,8,0,1,35,35,0.228571429,0,1,1
Random4,S0,Ben,0,COMPLETED,4,64,1,0,0,3,1,1,1,381,1,8,0,1,35,35,0.228571429,0,1,1
Random4,S0,Ict,0,COMPLETED,4,64,1,0,0,3,1,1,1,546,1,8,0,1,40,34,0.2,0,1,1
Random4,S0,Ipog,0,COMPLETED,4,64,1,0,0,3,0.666666667,1,0.5,352,0,8,0,1,32,32,0.25,0,0,0
